x,y,yaw,0.266,2.151,0.002
-4203.784,1707.201,-1.478,1.297,1.469,0.011
-4203.899,1707.204,-1.479,-0.085,1.278,0.004
-4204.085,1707.157,-1.48,-1.984,0.615,-0.005
-4203.993,1707.151,-1.481,-0.742,0.455,-0.022
-4203.899,1707.281,-1.482,0.335,1.73,-0.026
-4204.063,1707.16,-1.484,-1.4,0.226,-0.034
-4203.971,1707.139,-1.482,-0.251,-0.017,-0.015
-4204.009,1707.201,-1.481,-0.6,0.616,-0.006
-4203.827,1707.098,-1.48,1.36,-0.533,0.003
-4203.72,1707.026,-1.481,2.26,-1.191,0.002
-4203.692,1707.104,-1.48,2.214,-0.21,0.006
-4203.785,1707.17,-1.481,0.937,0.499,-0.004
-4203.736,1707.1,-1.481,1.296,-0.302,0.002
-4203.881,1707,-1.48,-0.383,-1.281,0.005
-4203.955,1707.007,-1.48,-1.087,-1.027,0.002
-4204.075,1706.916,-1.481,-2.16,-1.814,-0.004
-4204.084,1706.973,-1.481,-1.941,-0.955,-0.008
-4204.163,1706.974,-1.482,-2.466,-0.804,-0.009
-4204.169,1706.919,-1.483,-2.169,-1.251,-0.019
-4204.172,1706.975,-1.483,-1.878,-0.489,-0.015
-4204.134,1707.017,-1.482,-1.21,0.014,-0.008
-4204.145,1706.933,-1.482,-1.149,-0.853,-0.003
-4204.25,1706.932,-1.481,-2.055,-0.735,0.004
-4204.189,1706.808,-1.481,-1.13,-1.908,0.007
-4204.086,1706.809,-1.481,0.095,-1.621,-0.001
-4204.261,1706.933,-1.482,-1.713,-0.101,-0.007
-4204.19,1707.02,-1.481,-0.734,0.81,0.006
-4204.115,1707.349,-1.481,0.145,4.073,0.004
-4204.083,1707.416,-1.479,0.456,4.167,0.025
-4204.18,1707.373,-1.479,-0.61,3.115,0.021
-4204.354,1707.143,-1.48,-2.315,0.288,0.01
-4204.48,1706.986,-1.479,-3.275,-1.374,0.013
-4204.415,1707.018,-1.479,-2.122,-0.846,0.014
-4204.423,1707.154,-1.479,-1.894,0.687,0.012
-4204.233,1707.127,-1.479,0.339,0.306,0.009
-4204.08,1707.26,-1.481,1.874,1.628,-0.011
-4204.115,1707.177,-1.481,1.237,0.535,-0.01
-4204.029,1707.169,-1.481,1.939,0.376,-0.007
-4204.075,1707.108,-1.48,1.178,-0.306,-0.002
-4204.247,1707.216,-1.48,-0.762,0.851,0.001
-4204.325,1707.323,-1.48,-1.454,1.828,0
-4204.215,1707.45,-1.481,-0.113,2.859,-0.004
-4204.195,1707.391,-1.482,0.113,1.83,-0.014
-4204.261,1707.345,-1.482,-0.582,1.092,-0.011
-4204.129,1707.269,-1.481,0.864,0.152,-0.005
-4204.138,1707.143,-1.482,0.641,-1.167,-0.01
-4204.079,1707.004,-1.482,1.152,-2.432,-0.01
-4204.045,1707.006,-1.481,1.335,-2.054,0.004
-4204.089,1706.99,-1.481,0.688,-1.916,0.005
-4204.238,1706.841,-1.481,-0.95,-3.168,-0.001
-4204.424,1706.941,-1.481,-2.727,-1.676,-0.001
-4204.28,1706.88,-1.481,-0.846,-2.054,0.004
-4204.241,1706.912,-1.481,-0.318,-1.421,0.001
-4204.297,1707.016,-1.481,-0.847,-0.144,-0.005
-4204.209,1706.998,-1.482,0.184,-0.306,-0.01
-4204.175,1707.125,-1.482,0.507,1.049,-0.007
-4204.235,1707.005,-1.482,-0.187,-0.338,-0.003
-4204.273,1707.114,-1.482,-0.552,0.827,-0.004
-4204.272,1707.101,-1.481,-0.462,0.578,0.001
-4204.198,1707.172,-1.481,0.376,1.222,0.001
-4204.187,1707.06,-1.482,0.434,-0.116,-0.004
-4204.274,1707.152,-1.481,-0.532,0.853,-0.001
-4204.199,1707.112,-1.481,0.32,0.313,0.003
-4204.131,1707.082,-1.48,0.97,-0.04,0.014
-4203.944,1706.876,-1.48,2.762,-2.157,0.01
-4204.026,1706.999,-1.48,1.506,-0.575,0.006
-4203.965,1707.171,-1.48,1.916,1.285,0.006
-4204.053,1707.168,-1.481,0.722,1.061,0.002
-4204.138,1707.191,-1.481,-0.251,1.148,-0.004
-4204.07,1707.142,-1.482,0.486,0.466,-0.008
-4204.058,1707.039,-1.481,0.533,-0.663,-0.003
-4204.13,1707.021,-1.481,-0.282,-0.744,0.002
-4204.183,1706.99,-1.481,-0.791,-0.957,0.002
-4204.117,1706.998,-1.481,0.009,-0.73,-0.001
-4204.161,1706.913,-1.481,-0.449,-1.505,0
-4204.121,1707.021,-1.481,0.029,-0.169,0
-4204.131,1706.867,-1.481,-0.08,-1.727,0.002
