x,y,1.444,-0.084,-1.489,0
-4671.261,-1490.31,1.443,-0.169,-1.272,-0.003
-4671.19,-1490.222,1.444,0.584,-0.179,0
-4671.215,-1490.179,1.444,0.245,0.283,0.001
-4671.243,-1490.178,1.443,-0.08,0.258,-0.003
-4671.281,-1490.215,1.444,-0.455,-0.161,0.002
-4671.299,-1490.277,1.443,-0.58,-0.783,-0.003
-4671.346,-1490.303,1.443,-0.972,-0.93,-0.006
-4671.255,-1490.286,1.444,0.107,-0.621,0.004
-4671.2,-1490.212,1.444,0.657,0.232,0.002
-4671.182,-1490.209,1.444,0.746,0.228,0.001
-4671.205,-1490.175,1.444,0.394,0.548,0.001
-4671.147,-1490.208,1.443,0.929,0.13,-0.002
-4671.136,-1490.203,1.443,0.917,0.163,-0.006
-4671.121,-1490.168,1.443,0.931,0.491,-0.006
-4671.042,-1490.147,1.443,1.603,0.638,-0.005
-4670.976,-1490.139,1.444,2.055,0.631,0.002
-4671.004,-1490.111,1.443,1.456,0.821,-0.003
-4671.035,-1490.098,1.444,0.928,0.838,0.002
-4671.091,-1490.149,1.444,0.212,0.194,0.003
-4671.146,-1490.154,1.443,-0.39,0.106,0
-4671.099,-1490.12,1.443,0.155,0.439,-0.001
-4671.109,-1490.024,1.445,0.033,1.371,0.014
-4671.052,-1490.028,1.445,0.615,1.121,0.011
-4671.071,-1490.099,1.445,0.327,0.233,0.013
-4671.113,-1490.078,1.445,-0.152,0.41,0.008
-4671.196,-1490.168,1.445,-0.989,-0.58,0.005
-4671.233,-1490.205,1.444,-1.222,-0.875,0.001
-4671.194,-1490.158,1.444,-0.644,-0.26,-0.004
-4671.196,-1490.074,1.443,-0.562,0.642,-0.01
-4671.238,-1489.891,1.443,-0.919,2.432,-0.009
-4671.251,-1489.933,1.444,-0.917,1.647,0
-4671.235,-1490.028,1.444,-0.61,0.42,0.001
-4671.271,-1490.108,1.444,-0.899,-0.462,0.003
-4671.283,-1490.085,1.443,-0.886,-0.16,-0.007
-4671.253,-1490.128,1.443,-0.447,-0.582,-0.004
-4671.241,-1490.02,1.443,-0.259,0.622,-0.005
-4671.27,-1489.951,1.444,-0.512,1.239,0.001
-4671.27,-1490.006,1.444,-0.438,0.492,-0.001
-4671.267,-1490.059,1.443,-0.342,-0.124,-0.007
-4671.291,-1490.124,1.442,-0.545,-0.782,-0.014
-4671.349,-1490.158,1.443,-1.057,-1.014,-0.007
-4671.284,-1490.079,1.443,-0.24,-0.051,-0.004
-4671.226,-1490.123,1.443,0.403,-0.494,-0.003
-4671.168,-1490.201,1.443,0.93,-1.226,-0.002
-4671.165,-1490.254,1.443,0.831,-1.588,0.001
-4671.158,-1490.298,1.443,0.783,-1.817,0.002
-4671.183,-1490.256,1.442,0.405,-1.115,-0.009
-4671.215,-1490.244,1.441,0.015,-0.82,-0.018
-4671.195,-1490.242,1.441,0.218,-0.678,-0.014
-4671.131,-1490.226,1.44,0.85,-0.424,-0.02
-4671.084,-1490.31,1.442,1.201,-1.218,-0.005
-4671.14,-1490.246,1.443,0.457,-0.384,0.006
-4671.173,-1490.287,1.442,0.049,-0.753,0.001
-4671.212,-1490.223,1.443,-0.364,0.024,0.003
-4671.175,-1490.276,1.442,0.07,-0.528,-0.001
-4671.178,-1490.317,1.442,0.035,-0.875,0.001
-4671.178,-1490.196,1.442,0.028,0.501,-0.004
-4671.191,-1490.146,1.442,-0.116,0.947,-0.005
-4671.193,-1490.119,1.443,-0.116,1.083,0.006
-4671.216,-1490.133,1.444,-0.334,0.773,0.017
-4671.25,-1490.095,1.444,-0.631,1.059,0.012
-4671.194,-1490,1.443,0.035,1.874,0.005
-4671.259,-1489.896,1.445,-0.64,2.677,0.018
-4671.206,-1490.035,1.445,-0.005,0.849,0.015
-4671.223,-1490.145,1.445,-0.171,-0.409,0.018
-4671.262,-1490.153,1.445,-0.549,-0.435,0.014
-4671.231,-1490.257,1.446,-0.15,-1.437,0.017
-4671.248,-1490.135,1.445,-0.299,0.03,0.014
-4671.315,-1490.104,1.445,-0.954,0.341,0.004
-4671.321,-1490.024,1.444,-0.87,1.116,-0.001
-4671.27,-1490.147,1.444,-0.217,-0.316,-0.002
-4671.281,-1490.117,1.442,-0.301,0.038,-0.016
-4671.25,-1490.183,1.443,0.068,-0.64,-0.006
-4671.221,-1490.242,1.444,0.348,-1.161,0.003
-4671.28,-1490.187,1.444,-0.312,-0.423,0.004
-4671.188,-1490.182,1.444,0.69,-0.301,-0.003
-4671.178,-1490.182,1.444,0.69,-0.265,-0.003
-4671.163,-1490.227,1.443,0.739,-0.681,-0.005
-4671.14,-1490.209,1.443,0.867,-0.403,-0.006
-4671.17,-1490.128,1.443,0.425,0.496,-0.009
-4671.184,-1490.129,1.443,0.225,0.409,-0.002
-4671.184,-1490.007,1.444,0.195,1.606,0.004
-4671.215,-1489.98,1.444,-0.152,1.651,0.002
-4671.15,-1490.027,1.444,0.531,0.925,-0.001
-4671.067,-1490.052,1.444,1.313,0.524,0
-4671.072,-1490.136,1.443,1.068,-0.41,-0.004
-4671.032,-1490.207,1.443,1.323,-1.087,-0.005
-4671.134,-1490.097,1.444,0.076,0.206,0.005
-4671.216,-1490.045,1.444,-0.78,0.708,0.007
-4671.188,-1490.101,1.444,-0.377,0.033,0.004
-4671.227,-1490.141,1.445,-0.717,-0.387,0.01
-4671.212,-1490.205,1.444,-0.458,-0.991,0.003
-4671.275,-1490.191,1.444,-1.048,-0.699,0.004
-4671.254,-1490.194,1.444,-0.676,-0.627,-0.001
-4671.27,-1490.231,1.444,-0.737,-0.911,-0.003
-4671.289,-1490.178,1.444,-0.826,-0.233,0
-4671.258,-1490.116,1.445,-0.385,0.437,0.009
-4671.183,-1490.191,1.445,0.445,-0.399,0.007
-4671.149,-1490.265,1.443,0.732,-1.096,-0.006
-4671.295,-1490.177,1.444,-0.878,-0.033,-0.005
-4671.271,-1490.199,1.443,-0.504,-0.255,-0.006
-4671.286,-1490.121,1.443,-0.586,0.589,-0.008
-4671.251,-1490.163,1.443,-0.144,0.062,-0.011
