x,y,t,0.429,2.464,-0.002
-4364.829,-1443.906,1.562,0.565,1.506,-0.004
-4364.825,-1443.904,1.563,0.516,1.307,0.004
-4364.771,-1443.902,1.563,1.004,1.128,0.006
-4364.84,-1444,1.563,0.135,-0.046,0.007
-4364.781,-1444.006,1.564,0.727,-0.101,0.011
-4364.678,-1443.979,1.564,1.677,0.191,0.007
-4364.697,-1444.035,1.563,1.237,-0.412,0
-4364.779,-1444.108,1.563,0.212,-1.104,-0.004
-4364.724,-1444.059,1.562,0.746,-0.434,-0.007
-4364.692,-1444.094,1.561,0.964,-0.733,-0.014
-4364.754,-1443.968,1.561,0.182,0.673,-0.011
-4364.8,-1444.06,1.562,-0.313,-0.369,-0.006
-4364.848,-1443.988,1.562,-0.762,0.42,-0.003
-4364.766,-1443.858,1.562,0.192,1.702,-0.001
-4364.805,-1443.869,1.562,-0.238,1.338,-0.004
-4364.841,-1443.884,1.563,-0.571,0.985,0.003
-4364.807,-1443.911,1.562,-0.139,0.556,0.001
-4364.711,-1443.844,1.563,0.871,1.17,0.006
-4364.647,-1443.822,1.563,1.404,1.227,0.004
-4364.607,-1443.99,1.562,1.602,-0.689,-0.004
-4364.676,-1444.042,1.562,0.661,-1.126,-0.002
-4364.758,-1443.95,1.562,-0.277,-0.003,0
-4364.839,-1444.025,1.562,-1.07,-0.783,0
-4364.81,-1444.07,1.562,-0.61,-1.131,-0.003
-4364.71,-1444.077,1.56,0.501,-1.03,-0.018
-4364.729,-1444.037,1.561,0.227,-0.468,-0.011
-4364.687,-1444.103,1.561,0.63,-1.081,-0.005
-4364.743,-1444.05,1.562,-0.033,-0.377,-0.001
-4364.686,-1444.056,1.561,0.559,-0.378,-0.007
-4364.743,-1444.056,1.561,-0.111,-0.331,-0.005
-4364.698,-1444.205,1.561,0.366,-1.81,-0.004
-4364.641,-1444.174,1.561,0.905,-1.23,0
-4364.604,-1444.073,1.561,1.148,-0.002,-0.001
-4364.61,-1444.11,1.562,0.917,-0.392,0.003
-4364.627,-1444.179,1.562,0.603,-1.035,0.005
-4364.648,-1444.171,1.562,0.298,-0.808,0.007
-4364.684,-1444.083,1.562,-0.109,0.221,0.002
-4364.811,-1443.94,1.562,-1.4,1.665,0
-4364.806,-1443.973,1.562,-1.148,1.071,0.002
-4364.832,-1443.975,1.562,-1.243,0.9,0.006
-4364.817,-1443.976,1.562,-0.907,0.758,0.005
-4364.825,-1443.817,1.563,-0.861,2.284,0.011
-4364.896,-1443.884,1.563,-1.468,1.25,0.013
-4364.878,-1443.932,1.562,-1.067,0.576,0.002
-4364.889,-1443.972,1.562,-1.013,0.08,0.001
-4364.818,-1443.964,1.562,-0.136,0.148,-0.006
-4364.836,-1444.119,1.561,-0.304,-1.466,-0.009
-4364.837,-1444.152,1.562,-0.272,-1.588,-0.002
-4364.781,-1444.195,1.561,0.347,-1.798,-0.006
-4364.766,-1444.159,1.562,0.455,-1.162,0
-4364.806,-1444.065,1.562,-0.022,-0.028,0.001
-4364.782,-1444.039,1.563,0.227,0.242,0.005
-4364.842,-1443.957,1.563,-0.423,1.054,0.007
-4364.887,-1444.031,1.563,-0.833,0.133,0.006
-4364.776,-1444.099,1.563,0.436,-0.581,0.008
-4364.799,-1444.115,1.563,0.134,-0.665,0.01
-4364.805,-1444.068,1.563,0.056,-0.077,0.006
-4364.829,-1444.01,1.563,-0.199,0.532,0.001
-4364.789,-1443.933,1.562,0.24,1.246,-0.006
-4364.792,-1443.898,1.561,0.181,1.417,-0.012
-4364.783,-1443.88,1.561,0.238,1.394,-0.013
-4364.8,-1444.014,1.561,0.029,-0.192,-0.008
-4364.753,-1444.092,1.561,0.512,-0.958,-0.008
-4364.818,-1444.064,1.561,-0.236,-0.531,-0.005
-4364.831,-1444.083,1.562,-0.327,-0.648,0
-4364.762,-1444.117,1.562,0.42,-0.908,0.006
-4364.863,-1444.102,1.563,-0.677,-0.619,0.009
-4364.727,-1444.186,1.563,0.829,-1.392,0.008
-4364.738,-1444.177,1.562,0.586,-1.09,-0.001
-4364.796,-1444.137,1.562,-0.095,-0.524,-0.002
-4364.907,-1444.138,1.562,-1.22,-0.457,-0.006
-4364.871,-1444.077,1.562,-0.672,0.24,0.002
-4364.816,-1444.152,1.562,-0.008,-0.571,0.002
-4364.794,-1444.134,1.562,0.219,-0.299,0
